2013 Tissue MDLs,,
,,
Units,,MDL(ng/g)
,,
Carbazole,,0.156
cis-Decalin,,0.18
trans-Decalin,,0.117
Benzo(b)thiophene,,0.093
"1,4-Dichlorobenzene",,0.111
Naphthalene,,0.546
2-Chloronaphthalene,,0.096
2-Methylnaphthalene,,0.441
1-Methylnaphthalene,,0.366
"2,6-dimethylnaphthalene",,0.594
"2,3,5-trimethylnaphthalene",,0.408
Biphenyl,,0.222
Acenaphthylene,,0.195
Acenaphthene,,0.189
Dibenzofuran,,0.408
Fluorene,,0.54
Anthracene,,0.132
Phenanthrene,,0.477
1-Methylphenanthrene,,0.153
2-Methylphenanthrene,,0.105
Dibenzothiophene,,0.237
Fluoranthene,,0.168
Pyrene,,0.15
Benzo(a)anthracene,,0.138
Chrysene,,0.108
Benzo(b)fluoranthene,,0.129
Benzo(k)fluoranthene,,0.12
Benzo(e)pyrene,,0.114
Benzo(a)pyrene,,0.084
Perylene,,0.108
"Indeno(1,2,3-cd)pyrene",,0.096
"Dibenz(a,h)anthracene",,0.051
"Benzo(g,h,i)perylene",,0.075
Isophorone,,0.426
