"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship to: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Ship From: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
7/31/2014,10:31,PAL-301,,Clam,6D,1,X,,,,,,,,
7/31/2014,15:35,PAL-303,,Clam,7,1,X,,,,,,,,
8/2/2014,12:59,PAL-316,,Clam,20,1,X,,,,,,,,
8/2/2014,2:04,PAL-312,,Clam (Nuculara radiada),T-3,1,X,,,,,,,,
8/2/2014,2:04,PAL-312a,,Clam (Astarte crenata),T-3,1,X,,,,,,,,
8/2/2014,20:39,PAL-318,,Clam,22,2,X,,,,,,,,
8/3/2014,6:23,PAL-320,,Clam,23,1,X,,,,,,,,
8/3/2014,10:26,PAL-321,,Clam,25,1,X,,,,,,,,
8/4/2014,17:14,PAL-325,,Clam (Astarte crenata),16,1,x,,,,,,,,
8/5/2014,0:43,PAL-327,,Astarte/Macoma mix,12,1,x,,,,,,,,
8/7/2014,13:57,PAL-341,,Clam,N03,1,x,,,,,,,,
