"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship to: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Ship From: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
7/31/2014,9:15,PAL-101,,sediment,6D,1,X,,,,,,,,
7/31/2014,12:24,PAL-102,,sediment,4,1,X,,,,,,,,
7/31/2014,14:18,PAL-103,,sediment,7,1,X,,,,,,,,
7/31/2014,18:44,PAL-104,,sediment,8,1,X,,,,,,,,
8/1/2014,0:29,PAL-105,,sediment,10,1,X,,,,,,,,
8/1/2014,4:19,PAL-106,,sediment,5E,1,X,,,,,,,,
8/1/2014,12:23,PAL-107,,sediment,5(5),1,X,,,,,,,,
8/1/2014,17:41,PAL-148,,sediment,HEX-1,1,X,,,,,,,,
8/1/2014,19:25,PAL-108,,sediment,L250-5,1,X,,,,,,,,
8/1/2014,19:37,PAL-108-REP,,sediment,L250-5,1,X,,,,,,,,
8/1/2014,21:21,PAL-109,,sediment,HEX-17,1,X,,,,,,,,
8/1/2014,22:19,PAL-110,,sediment,HEX-12,1,X,,,,,,,,
8/1/2014,23:00,PAL-111,,sediment,HH1-5,1,X,,,,,,,,
8/1/2014,23:41,PAL-142,,sediment,S-XA,1,X,,,,,,,,
8/2/2014,1:12,PAL-112,,sediment,T-3,1,X,,,,,,,,
8/2/2014,2:56,PAL-113,,sediment,T-XA,1,X,,,,,,,,
8/2/2014,4:10,PAL-114,,sediment,M-4,1,X,,,,,,,,
8/2/2014,7:12,PAL-115,,sediment,18,1,X,,,,,,,,
8/2/2014,12:12,PAL-116,,sediment,20,1,X,,,,,,,,
8/2/2014,15:00,PAL-117,,sediment,21,1,X,,,,,,,,
8/2/2014,18:50,PAL-118,,sediment,22,1,X,,,,,,,,
8/3/2014,1:38,PAL-119,,sediment,24,1,X,,,,,,,,
8/3/2014,5:29,PAL-120,,sediment,23,1,X,,,,,,,,
8/3/2014,9:02,PAL-121,,sediment,25,1,X,,,,,,,,
8/3/2014,21:58,PAL-122,,sediment,1B,1,X,,,,,,,,
8/4/2014,0:10,PAL-123,,sediment,1C,1,X,,,,,,,,
8/4/2014,5:35,PAL-124,,sediment,2C,1,X,,,,,,,,
8/4/2014,16:10,PAL-125,,sediment,16,1,X,,,,,,,,
8/4/2014,19:51,PAL-126,,sediment,15,1,X,,,,,,,,
8/4/2014,23:34,PAL-127,,sediment,12,1,X,,,,,,,,
8/5/2014,3:15,PAL-128,,sediment,11,1,X,,,,,,,,
8/5/2014,6:48,PAL-129,,sediment,11A,1,X,,,,,,,,
8/5/2014,10:16,PAL-130,,sediment,9A,1,X,,,,,,,,
8/5/2014,13:06,PAL-131,,sediment,9,1,X,,,,,,,,
8/5/2014,13:34,PAL-131-REP,,sediment,9,1,X,,,,,,,,
8/5/2014,22:32,PAL-132,,sediment,6F,1,x,,,,,,,,
8/6/2014,0:53,PAL-133,,sediment,7C,1,x,,,,,,,,
8/6/2014,4:05,PAL-134,,sediment,5,1,X,,,,,,,,
8/6/2014,9:37,PAL-135,,sediment,6,1,X,,,,,,,,
8/6/2014,11:54,PAL-136,,sediment,6.1,1,X,,,,,,,,
8/6/2014,14:08,PAL-137,,sediment,1.2,1,X,,,,,,,,
8/6/2014,16:11,PAL-138,,sediment,1,1,X,,,,,,,,
8/6/2014,20:30,PAL-139,,sediment,1.05,1,X,,,,,,,,
8/7/2014,10:03,PAL-140,,sediment,5B,1,X,,,,,,,,
8/7/2014,13:44,PAL-141,,sediment,N03,1,X,,,,,,,,
