"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship From: 
Battelle 
141 Longwater Dr.
Norwell, MA 02061",,,"Ship From: 
Battelle 
141 Longwater Dr.
Norwell, MA 02061",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
26-Jul-2015,15:30,QAH-101,,sediment,L08,1,X,,,,,,,,
26-Jul-2015,16:00,QAH-102,,sediment,4A,1,X,,,,,,,,
27-Jul-2015,15:00,QAH-103,,sediment,4B,1,X,,,,,,,,
27-Jul-2015,15:00,QAH-104,,sediment,BP01,1,X,,,,,,,,
1-Aug-2015,7:05,QAH-105,,sediment,152W0,1,X,,,,,,,,
1-Aug-2015,11:10,QAH-106,,sediment,152W1,1,X,,,,,,,,
1-Aug-2015,18:35,QAH-107,,sediment,71-150,1,X,,,,,,,,
2-Aug-2015,9:21,QAH-108,,sediment,5A,1,X,,,,,,,,
2-Aug-2015,10:45,QAH-109,,sediment,N06,1,X,,,,,,,,
2-Aug-2015,11:05,QAH-110,,sediment,N03,1,X,,,,,,,,
2-Aug-2015,16:00,QAH-111,,sediment,3A,1,X,,,,,,,,
3-Aug-2015,5:35,QAH-112,,sediment,143W-1,1,X,,,,,,,,
3-Aug-2015,10:00,QAH-113,,sediment,143W-2,1,X,,,,,,,,
3-Aug-2015,23:40,QAH-114,,sediment,143W-5,1,X,,,,,,,,
4-Aug-2015,3:30,QAH-115,,sediment,143W-4,1,X,,,,,,,,
4-Aug-2015,17:17,QAH-116,,sediment,70-143,1,X,,,,,,,,
4-Aug-2015,13:51,QAH-117,,sediment,70-142,1,X,,,,,,,,
5-Aug-2015,1:50,QAH-118,,sediment,70-145,1,X,,,,,,,,
5-Aug-2015,7:08,QAH-119,,sediment,71-145,1,X,,,,,,,,
5-Aug-2015,13:26,QAH-120,,sediment,71-146,1,X,,,,,,,,
6-Aug-2015,1:50,QAH-121,,sediment,71-147,1,X,,,,,,,,
6-Aug-2015,8:40,QAH-122,,sediment,71-149,1,X,,,,,,,,
6-Aug-2015,13:30,QAH-123,,sediment,149-350,1,X,,,,,,,,
6-Aug-2015,15:55,QAH-124,,sediment,149-200,1,X,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
