,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Client ID,,Laboratory Control Sample,,,,,Laboratory Control Sample,,,,
,,,,,,,,,,,
Battelle ID,,CD641LCS-P,,,,,CD642LCS-P,,,,
Sample Type,,LCS,,,,,LCS,,,,
Collection Date,,10/27/14,,,,,10/27/2014,,,,
Extraction Date,,10/27/14,,,,,10/27/2014,,,,
Analysis Date,,11/07/14,,,,,11/7/2014,,,,
Analytical Instrument,,FID,,,,,FID,,,,
% Moisture,,49.7,,,,,49.7,,,,
% Lipid,,NA,,,,,NA,,,,
Matrix,,SEDIMENT,,,,,SEDIMENT,,,,
Sample Size,,15.07,,,,,15.11,,,,
Size Unit-Basis,,G_DRY,,,,,G_DRY,,,,
Units,,UG/G_DRY,,Target,% Recovery,Qualifier,UG/G_DRY,,Target,% Recovery,Qualifier
,,,,,,,,,,,
n-Nonane,,0.421,,0.83,51,N,0.446,,0.83,54,N
n-Decane,,0.552,,0.83,67,N,0.581,,0.83,70,
n-Undecane,,0.616,,0.84,73,,0.652,,0.84,78,
n-Dodecane,,0.624,,0.84,74,,0.66,,0.84,79,
n-Tridecane,,0.629,,0.83,76,,0.661,,0.83,80,
Isoprenoid RRT 1380,,0.008,U,,,,0.008,U,,,
n-Tetradecane,,0.632,,0.84,75,,0.652,,0.84,78,
Isoprenoid RRT 1470,,0.006,U,,,,0.006,U,,,
n-Pentadecane,,0.694,,0.83,84,,0.702,,0.83,85,
n-Hexadecane,,0.756,,0.84,90,,0.768,,0.84,92,
Norpristane (1650),,0.014,U,,,,0.014,U,,,
n-Heptadecane,,0.758,,0.84,90,,0.771,,0.84,92,
Pristane,,0.814,,0.84,97,,0.827,,0.84,99,
n-Octadecane,,0.743,,0.84,89,,0.758,,0.84,91,
Phytane,,0.793,,0.83,96,,0.808,,0.83,98,
n-Nonadecane,,0.837,,0.86,98,,0.851,,0.86,99,
n-Eicosane,,0.827,,0.83,100,,0.84,,0.83,101,
n-Heneicosane,,0.83,,0.83,100,,0.846,,0.83,102,
n-Docosane,,0.829,,0.83,100,,0.847,,0.83,102,
n-Tricosane,,0.839,,0.83,101,,0.86,,0.83,103,
n-Tetracosane,,0.786,,0.83,94,,0.807,,0.83,97,
n-Pentacosane,,0.837,,0.83,100,,0.863,,0.83,104,
n-Hexacosane,,0.825,,0.83,99,,0.852,,0.83,103,
n-Heptacosane,,0.833,,0.83,100,,0.862,,0.83,104,
n-Octacosane,,0.821,,0.83,99,,0.852,,0.83,103,
n-Nonacosane,,0.772,,0.83,93,,0.805,,0.83,97,
n-Triacontane,,0.827,,0.83,99,,0.866,,0.83,104,
n-Hentriacontane,,0.86,,0.86,100,,0.905,,0.86,106,
n-Dotriacontane,,0.85,,0.83,102,,0.898,,0.83,108,
n-Tritriacontane,,0.824,,0.83,99,,0.876,,0.83,105,
n-Tetratriacontane,,0.83,,0.83,99,,0.883,,0.83,106,
n-Pentatriacontane,,0.845,,0.83,101,,0.901,,0.83,108,
n-Hexatriacontane,,0.861,,0.84,103,,0.917,,0.83,110,
n-Heptatriacontane,,0.851,,0.86,99,,0.905,,0.86,105,
n-Octatriacontane,,0.828,,0.85,97,,0.878,,0.85,103,
n-Nonatriacontane,,0.786,,0.83,94,,0.829,,0.83,100,
n-Tetracontane,,0.682,,0.85,80,,0.699,,0.85,82,
Sum SHC (C9-C40),,26.112,,,,,27.128,,,,
SHC Total (C9-C40),,0.77,U,,,,0.768,U,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,
,,,,,,,,,,,
n-Tetracosane-d50,,80,,,,,79,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
