,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Client ID,,PAL-140,,PAL-140,,,,,PAL-140,,,,,,
,,,,,,,,,,,,,,,
Battelle ID,,M5948-P,,M5948MS-P,,,,,M5948MSD-P,,,,,,
Sample Type,,SA,,MS,,,,,MSD,,,,,,
Collection Date,,08/07/14,,8/7/2014,,,,,8/7/2014,,,,,,
Extraction Date,,10/27/14,,10/27/2014,,,,,10/27/2014,,,,,,
Analysis Date,,11/11/14,,11/12/2014,,,,,11/12/2014,,,,,,
Analytical Instrument,,MS,,MS,,,,,MS,,,,,,
% Moisture,,22.31,,22.78,,,,,23.96,,,,,,
% Lipid,,NA,,NA,,,,,NA,,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,SEDIMENT,,,,,,
Sample Size,,23.70,,12.08,,,,,11.66,,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,G_DRY,,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,Target,% Recovery,Qualifier,NG/G_DRY,,Target,% Recovery,Qualifier,RPD (%),Qualifier
,,,,,,,,,,,,,,,
Naphthalene,,0.941,B,173.201,,166.03,104,,177.224,,172.01,102,,1.9,
C1-Naphthalenes,,1.993,,0.366,U,,,,0.379,U,,,,,
C2-Naphthalenes,,2.477,,0.366,U,,,,0.379,U,,,,,
C3-Naphthalenes,,1.695,,0.366,U,,,,0.379,U,,,,,
C4-Naphthalenes,,1.06,,0.366,U,,,,0.379,U,,,,,
Biphenyl,,0.432,,155.287,,165.99,93,,158.933,,171.97,92,,1.1,
Acenaphthylene,,0.065,U,170.766,,166.09,103,,177.317,,172.08,103,,0.0,
Acenaphthene,,0.07,J,173.969,,166.01,105,,180.627,,171.99,105,,0.0,
Dibenzofuran,,0.289,J,156.652,,165.98,94,,160.993,,171.96,93,,1.1,
Fluorene,,0.282,J,177.37,,166.14,107,,184.408,,172.13,107,,0.0,
C1-Fluorenes,,0.436,,0.095,U,,,,0.099,U,,,,,
C2-Fluorenes,,0.497,,0.095,U,,,,0.099,U,,,,,
C3-Fluorenes,,0.049,U,0.095,U,,,,0.099,U,,,,,
Anthracene,,0.079,U,181.991,,165.98,110,,188.24,,171.96,109,,0.9,
Phenanthrene,,1.421,,175.732,,165.93,105,,179.977,,171.90,104,,1.0,
C1-Phenanthrenes/Anthracenes,,1.975,,0.169,U,,,,0.175,U,,,,,
C2-Phenanthrenes/Anthracenes,,1.752,,0.169,U,,,,0.175,U,,,,,
C3-Phenanthrenes/Anthracenes,,0.745,,0.169,U,,,,0.175,U,,,,,
C4-Phenanthrenes/Anthracenes,,0.086,U,0.169,U,,,,0.175,U,,,,,
Retene,,0.867,,0.24,U,,,,0.249,U,,,,,
Dibenzothiophene,,0.216,J,158.293,,166.11,95,,156.04,,172.09,91,,4.3,
C1-Dibenzothiophenes,,0.356,J,0.099,U,,,,0.103,U,,,,,
C2-Dibenzothiophenes,,0.49,,0.099,U,,,,0.103,U,,,,,
