,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,131023-02: NIST SRM 1941b,,,,,,,
,,,,,,,,,
Battelle ID,,CG921SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,08/25/15,,,,,,,
Extraction Date,,08/25/15,,,,,,,
Analysis Date,,09/03/15,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,2.4,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,1.65,,,,,,,
Size Unit-Basis,,G_DRY,,Certified,,Passing,,Actual,
Units,,NG/G_DRY,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
Naphthalene,,855.434,,848,94.99,41.2,,0.9,
C1-Naphthalenes,,261.347,,,,,,,
C2-Naphthalenes,,193.751,,,,,,,
C3-Naphthalenes,,190.475,,,,,,,
C4-Naphthalenes,,82.681,,,,,,,
Biphenyl,,62.893,,,,,,,
Acenaphthylene,,52.039,,,,,,,
Acenaphthene,,29.314,,,,,,,
Dibenzofuran,,80.393,,,,,,,
Fluorene,,51.906,,85,15.00,47.65,,38.9,
C1-Fluorenes,,52.717,,,,,,,
C2-Fluorenes,,76.605,,,,,,,
C3-Fluorenes,,69.930,,,,,,,
Anthracene,,162.928,,184,18.00,39.78,,11.5,
Phenanthrene,,434.326,,406,44.00,40.84,,7,
C1-Phenanthrenes/Anthracenes,,314.926,,,,,,,
C2-Phenanthrenes/Anthracenes,,251.688,,,,,,,
C3-Phenanthrenes/Anthracenes,,168.522,,,,,,,
C4-Phenanthrenes/Anthracenes,,84.464,,,,,,,
Retene,,51.926,,,,,,,
Dibenzothiophene,,51.121,,,,,,,
C1-Dibenzothiophenes,,118.548,,,,,,,
C2-Dibenzothiophenes,,114.537,,,,,,,
C3-Dibenzothiophenes,,107.999,,,,,,,
C4-Dibenzothiophenes,,60.018,,,,,,,
Fluoranthene,,749.721,,651,50.00,37.68,,15.2,
Pyrene,,574.838,,581,39.00,36.71,,1.1,
C1-Fluoranthenes/Pyrenes,,346.889,,,,,,,
C2-Fluoranthenes/Pyrenes,,168.642,,,,,,,
C3-Fluoranthenes/Pyrenes,,107.938,,,,,,,
Benzo(a)anthracene,,287.297,,335,25.00,37.46,,14.2,
Chrysene,,386.550,,399,36.00,39.02,,3.1,
C1-Chrysenes,,209.869,,,,,,,
C2-Chrysenes,,119.045,,,,,,,
C3-Chrysenes,,74.543,,,,,,,
C4-Chrysenes,,42.633,,,,,,,
Benzo(b)fluoranthene,,549.162,,453,21.00,34.64,,21.2,
Benzo(k)fluoranthene,,471.247,,442,23.00,35.2,,6.6,
Benzo(e)pyrene,,357.162,,325,25.00,37.69,,9.9,
Benzo(a)pyrene,,287.642,,358,17.00,34.75,,19.7,
Perylene,,338.840,,397,45.00,41.34,,14.6,
"Indeno(1,2,3-cd)pyrene",,384.544,,341,57.00,46.72,,12.8,
"Dibenz(a,h)anthracene",,78.170,,89.7,15.20,46.95,,12.9,
"Benzo(g,h,i)perylene",,290.319,,307,45.00,44.66,,5.4,
