,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IM85: North Slope Crude,,,,,,,
,,,,,,,,,
Battelle ID,,CH133NSC-P,,,,,,,
Sample Type,,NSC,,,,,,,
Collection Date,,09/09/15,,,,,,,
Extraction Date,,09/09/15,,,,,,,
Analysis Date,,09/12/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.04,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,4050.962,,4597.33,11.9,,,,
n-Decane,,4326.005,,4593.10,5.8,,,,
n-Undecane,,4264.845,,4593.71,7.2,,,,
n-Dodecane,,4048.510,,4479.95,9.6,,,,
n-Tridecane,,4143.741,,4406.04,6.0,,,,
Isoprenoid RRT 1380,,818.741,,910.08,10.0,,,,
n-Tetradecane,,3784.457,,3876.02,2.4,,,,
Isoprenoid RRT 1470,,1307.611,,1459.21,10.4,,,,
n-Pentadecane,,3686.219,,3966.33,7.1,,,,
n-Hexadecane,,3227.096,,3647.07,11.5,,,,
Norpristane (1650),,1062.928,,1176.36,9.6,,,,
n-Heptadecane,,3015.289,,3233.24,6.7,,,,
Pristane,,2017.037,,2219.78,9.1,,,,
n-Octadecane,,3046.782,,2958.53,3.0,,,,
Phytane,,1393.440,,1412.15,1.3,,,,
n-Nonadecane,,2375.895,,2547.86,6.7,,,,
n-Eicosane,,2315.199,,2556.19,9.4,,,,
n-Heneicosane,,2126.956,,2345.96,9.3,,,,
n-Docosane,,1965.206,,2203.73,10.8,,,,
n-Tricosane,,1813.226,,2022.90,10.4,,,,
n-Tetracosane,,1838.611,,1913.32,3.9,,,,
n-Pentacosane,,1525.436,,1679.52,9.2,,,,
n-Hexacosane,,1410.281,,1563.99,9.8,,,,
n-Heptacosane,,1091.683,,1170.32,6.7,,,,
n-Octacosane,,938.722,,975.81,3.8,,,,
n-Nonacosane,,780.510,,770.97,1.2,,,,
n-Triacontane,,608.053,,670.41,9.3,,,,
n-Hentriacontane,,540.083,,639.83,15.6,,,,
n-Dotriacontane,,401.055,,431.96,7.2,,,,
n-Tritriacontane,,418.967,,453.91,7.7,,,,
n-Tetratriacontane,,344.127,,356.39,3.4,,,,
n-Pentatriacontane,,309.248,,371.72,16.8,,,,
n-Hexatriacontane,,201.543,J,231.42,12.9,,,,
n-Heptatriacontane,,197.491,J,214.71,8.0,,,,
n-Octatriacontane,,199.459,J,210.57,5.3,,,,
n-Nonatriacontane,,169.022,J,168.91,0.1,,,,
n-Tetracontane,,174.239,J,178.74,2.5,,,,
Sum SHC (C9-C40),,65938.675,,,,,,,
SHC Total (C9-C40),,523261.853,,566423.77,7.6,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,102,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
