,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IC44: North Slope Crude,,,,,,,
,,,,,,,,,
Battelle ID,,CD648NSC-P,,,,,,,
Sample Type,,NSC,,,,,,,
Collection Date,,10/15/14,,,,,,,
Extraction Date,,10/15/14,,,,,,,
Analysis Date,,10/16/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.05,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,4341.165,,4597.33,5.6,,,,
n-Decane,,4561.571,,4593.10,0.7,,,,
n-Undecane,,4226.719,,4593.71,8.0,,,,
n-Dodecane,,4145.237,,4479.95,7.5,,,,
n-Tridecane,,3761.582,,4406.04,14.6,,,,
Isoprenoid RRT 1380,,955.153,,910.08,5.0,,,,
n-Tetradecane,,3640.843,,3876.02,6.1,,,,
Isoprenoid RRT 1470,,1208.176,,1459.21,17.2,,,,
n-Pentadecane,,4258.3,,3966.33,7.4,,,,
n-Hexadecane,,3323.378,,3647.07,8.9,,,,
Norpristane (1650),,1133.44,,1176.36,3.6,,,,
n-Heptadecane,,2870.545,,3233.24,11.2,,,,
Pristane,,2205.747,,2219.78,0.6,,,,
n-Octadecane,,2906.619,,2958.53,1.8,,,,
Phytane,,1370.404,,1412.15,3.0,,,,
n-Nonadecane,,2548.816,,2547.86,0.0,,,,
n-Eicosane,,2510.82,,2556.19,1.8,,,,
n-Heneicosane,,2185.52,,2345.96,6.8,,,,
n-Docosane,,2076.81,,2203.73,5.8,,,,
n-Tricosane,,1883.835,,2022.90,6.9,,,,
n-Tetracosane,,1770.333,,1913.32,7.5,,,,
n-Pentacosane,,1689.303,,1679.52,0.6,,,,
n-Hexacosane,,1517.744,,1563.99,3.0,,,,
n-Heptacosane,,1147.951,,1170.32,1.9,,,,
n-Octacosane,,857.729,,975.81,12.1,,,,
n-Nonacosane,,725.352,,770.97,5.9,,,,
n-Triacontane,,646.377,,670.41,3.6,,,,
n-Hentriacontane,,696.748,,639.83,8.9,,,,
n-Dotriacontane,,426.737,,431.96,1.2,,,,
n-Tritriacontane,,372.795,,453.91,17.9,,,,
n-Tetratriacontane,,367.607,,356.39,3.1,,,,
n-Pentatriacontane,,379.714,,371.72,2.2,,,,
n-Hexatriacontane,,232.368,J,231.42,0.4,,,,
n-Heptatriacontane,,234.095,J,214.71,9.0,,,,
n-Octatriacontane,,206.861,J,210.57,1.8,,,,
n-Nonatriacontane,,163.336,J,168.91,3.3,,,,
n-Tetracontane,,175.6,J,178.74,1.8,,,,
Sum SHC (C9-C40),,67725.33,,,,,,,
SHC Total (C9-C40),,503069.752,,566423.77,11.2,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,101,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
