,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CD645CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,10/15/14,,,,,,,
Extraction Date,,10/15/14,,,,,,,
Analysis Date,,11/13/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
Naphthalene,,955.995,,,,,,,
C1-Naphthalenes,,2376.052,,,,,,,
C2-Naphthalenes,,2931.469,,,,,,,
C3-Naphthalenes,,2008.595,,,,,,,
C4-Naphthalenes,,845.411,,,,,,,
Biphenyl,,382.692,,,,,,,
Acenaphthylene,,11.061,,,,,,,
Acenaphthene,,14.345,,,,,,,
Dibenzofuran,,70.812,,,,,,,
Fluorene,,183.081,,,,,,,
C1-Fluorenes,,300.43,,,,,,,
C2-Fluorenes,,363.684,,,,,,,
C3-Fluorenes,,283.698,,,,,,,
Anthracene,,2.665,U,,,,,,
Phenanthrene,,407.379,,,,,,,
C1-Phenanthrenes/Anthracenes,,815.118,,,,,,,
C2-Phenanthrenes/Anthracenes,,845.634,,,,,,,
C3-Phenanthrenes/Anthracenes,,565.269,,,,,,,
C4-Phenanthrenes/Anthracenes,,209.612,,,,,,,
Retene,,2.6,U,,,,,,
Dibenzothiophene,,95.221,,,,,,,
C1-Dibenzothiophenes,,199.314,,,,,,,
C2-Dibenzothiophenes,,220.864,,,,,,,
C3-Dibenzothiophenes,,138.122,,,,,,,
C4-Dibenzothiophenes,,63.333,,,,,,,
Fluoranthene,,6.02,,,,,,,
Pyrene,,19.579,,,,,,,
C1-Fluoranthenes/Pyrenes,,107.322,,,,,,,
C2-Fluoranthenes/Pyrenes,,139.752,,,,,,,
C3-Fluoranthenes/Pyrenes,,151.922,,,,,,,
Benzo(a)anthracene,,1.905,J,,,,,,
Chrysene,,48.088,,,,,,,
C1-Chrysenes,,87.759,,,,,,,
C2-Chrysenes,,118.005,,,,,,,
C3-Chrysenes,,100.082,,,,,,,
C4-Chrysenes,,75.863,,,,,,,
Benzo(b)fluoranthene,,5.062,,,,,,,
Benzo(k)fluoranthene,,5.21,U,,,,,,
Benzo(e)pyrene,,12.695,,,,,,,
Benzo(a)pyrene,,2.602,U,,,,,,
Perylene,,2.608,U,,,,,,
"Indeno(1,2,3-cd)pyrene",,2.621,U,,,,,,
"Dibenz(a,h)anthracene",,2.605,U,,,,,,
"Benzo(g,h,i)perylene",,1.353,J,,,,,,
Total PAH,,15162.598,,,,,,,
"14a(H),17a(H)-20R-Cholestane",,72.327,,,,,,,
"13b(H),17a(H)-20S-Diacholestane ",,57.349,,,,,,,
"13b(H),17a(H)-20R-Diacholestane",,31.274,,,,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,21.181,,,,,,,
