,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,PAL-204,,PAL-204,,,,,
,,,,,,,,,
Battelle ID,,M5883-P,,M5883DUP-P,,,,,
Sample Type,,SA,,QADU,,,,,
Collection Date,,07/31/14,,7/31/2014,,,,,
Extraction Date,,10/08/14,,10/8/2014,,,,,
Analysis Date,,11/05/14,,11/5/2014,,,,,
Analytical Instrument,,MS,,MS,,,,,
% Moisture,,79.4,,79.56,,,,,
% Lipid,,4.46,,4.49,,,,,
Matrix,,AMPHIPOD,,AMPHIPOD,,,,,
Sample Size,,4.12,,4.11,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,RPD,Qualifier,,
,,,,,,,,,
Naphthalene,,15.545,,15.314,,1.5,,,
C1-Naphthalenes,,3.029,,2.634,,14.0,,,
C2-Naphthalenes,,2.599,U,2.605,U,NA,,,
C3-Naphthalenes,,2.599,U,2.605,U,NA,,,
C4-Naphthalenes,,2.599,U,2.605,U,NA,,,
Biphenyl,,1.08,U,1.083,U,NA,,,
Acenaphthylene,,0.906,U,0.908,U,NA,,,
Acenaphthene,,0.622,J,0.634,J,NA,,,
Dibenzofuran,,0.272,J,0.269,J,NA,,,
Fluorene,,0.527,J,0.461,J,NA,,,
C1-Fluorenes,,0.566,J,0.508,J,NA,,,
C2-Fluorenes,,2.619,U,2.625,U,NA,,,
C3-Fluorenes,,2.619,U,2.625,U,NA,,,
Anthracene,,0.632,U,0.634,U,NA,,,
Phenanthrene,,1.021,J,0.909,J,NA,,,
C1-Phenanthrenes/Anthracenes,,2.28,U,2.286,U,NA,,,
C2-Phenanthrenes/Anthracenes,,2.28,U,2.286,U,NA,,,
C3-Phenanthrenes/Anthracenes,,2.28,U,2.286,U,NA,,,
C4-Phenanthrenes/Anthracenes,,2.28,U,2.286,U,NA,,,
Retene,,0.812,J,1.178,U,NA,,,
Dibenzothiophene,,1.11,U,1.113,U,NA,,,
C1-Dibenzothiophenes,,1.11,U,1.113,U,NA,,,
C2-Dibenzothiophenes,,1.11,U,1.113,U,NA,,,
C3-Dibenzothiophenes,,1.11,U,1.113,U,NA,,,
C4-Dibenzothiophenes,,1.11,U,1.113,U,NA,,,
Fluoranthene,,0.821,U,0.823,U,NA,,,
Pyrene,,0.737,U,0.739,U,NA,,,
C1-Fluoranthenes/Pyrenes,,0.737,U,0.739,U,NA,,,
C2-Fluoranthenes/Pyrenes,,0.737,U,0.739,U,NA,,,
C3-Fluoranthenes/Pyrenes,,0.737,U,0.739,U,NA,,,
Benzo(a)anthracene,,0.207,J,0.654,U,NA,,,
Chrysene,,0.62,J,0.624,J,NA,,,
C1-Chrysenes,,0.677,J,0.529,U,NA,,,
C2-Chrysenes,,0.528,U,0.529,U,NA,,,
C3-Chrysenes,,0.528,U,0.529,U,NA,,,
C4-Chrysenes,,0.528,U,0.529,U,NA,,,
Benzo(b)fluoranthene,,0.627,U,0.629,U,NA,,,
Benzo(k)fluoranthene,,0.577,U,0.579,U,NA,,,
Benzo(e)pyrene,,0.558,U,0.559,U,NA,,,
Benzo(a)pyrene,,0.408,U,0.409,U,NA,,,
Perylene,,0.533,U,0.534,U,NA,,,
"Indeno(1,2,3-cd)pyrene",,0.471,U,0.472,U,NA,,,
"Dibenz(a,h)anthracene",,0.242,U,0.243,U,NA,,,
"Benzo(g,h,i)perylene",,0.361,U,0.362,U,NA,,,
Total PAH,,23.086,,21.353,,7.8,,,
"14a(H),17a(H)-20R-Cholestane",,0.544,J,0.521,J,NA,,,
"13b(H),17a(H)-20S-Diacholestane ",,0.286,J,0.29,J,NA,,,
"13b(H),17a(H)-20R-Diacholestane",,0.393,U,0.394,U,NA,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.393,U,0.394,U,NA,,,
"14a(H),17a(H)-20S-Cholestane",,0.351,J,0.26,J,NA,,,
"14b(H),17b(H)-20R-Cholestane",,0.228,J,0.24,J,NA,,,
"14b(H),17b(H)-20S-Cholestane",,0.273,J,0.201,J,NA,,,
"14a(H),17a(H)-20S-methylcholestane",,0.393,U,0.394,U,NA,,,
"14b(H),17b(H)-20R-Methylcholestane",,0.393,U,0.394,U,NA,,,
"14b(H),17b(H)-20S-Methylcholestane",,0.393,U,0.394,U,NA,,,
"14a(H),17a(H)-20R-methylcholestane ",,0.393,U,0.394,U,NA,,,
"14a(H),17a(H)-20S-Ethylcholestane",,0.393,U,0.394,U,NA,,,
"14b(H),17b(H)-20R-Ethylcholestane",,0.401,J,0.323,J,NA,,,
"14b(H),17b(H)-20S-Ethylcholestane",,0.362,J,0.24,J,NA,,,
"14a(H),17a(H)-20R-Ethylcholestane",,0.408,J,0.361,J,NA,,,
C23 Tricyclic Terpane,,0.266,J,0.198,J,NA,,,
C24 Tricyclic Terpane ,,1.357,U,1.361,U,NA,,,
C25 Tricyclic Terpane,,1.357,U,1.361,U,NA,,,
C24 Tetracyclic Terpane,,1.357,U,1.361,U,NA,,,
C26 Tricyclic Terpane-22S,,1.357,U,1.361,U,NA,,,
C26 Tricyclic Terpane-22R,,1.357,U,1.361,U,NA,,,
C28 Tricyclic Terpane-22S,,1.357,U,1.361,U,NA,,,
C28 Tricyclic Terpane-22R,,1.357,U,1.361,U,NA,,,
C29 Tricyclic Terpane-22S,,1.357,U,1.361,U,NA,,,
C29 Tricyclic Terpane-22R,,1.357,U,1.361,U,NA,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,1.357,U,1.361,U,NA,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,1.357,U,0.377,J,NA,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,1.357,U,1.361,U,NA,,,
"17a(H),21b(H)-25-Norhopane",,1.357,U,1.361,U,NA,,,
30-Norhopane,,1.25,J,1.018,J,NA,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,1.357,U,1.361,U,NA,,,
17a(H)-Diahopane,,1.357,U,1.361,U,NA,,,
30-Normoretane,,1.357,U,1.361,U,NA,,,
18a(H) & 18b(H)-Oleananes,,1.357,U,1.361,U,NA,,,
"17a(H),21b(H)-hopane",,1.393,J,1.063,J,NA,,,
"17b(H),21a(H)-hopane (moretane)",,1.357,U,1.361,U,NA,,,
30-Homohopane-22S,,1.357,U,1.361,U,NA,,,
30-Homohopane-22R,,1.357,U,1.361,U,NA,,,
"30,31-Bishomohopane-22S",,1.357,U,1.361,U,NA,,,
"30,31-Bishomohopane-22R",,1.357,U,1.361,U,NA,,,
"30,31,32-Trishomohopane-22S",,1.357,U,1.361,U,NA,,,
"30,31,32-Trishomohopane-22R",,1.357,U,1.361,U,NA,,,
"30,31,32,33-Tetrakishomohopane-22S",,1.357,U,1.361,U,NA,,,
"30,31,32,33-Tetrakishomohopane-22R",,1.357,U,1.361,U,NA,,,
"30,31,32,33,34-Pentakishomohopane-22S",,1.357,U,1.361,U,NA,,,
"30,31,32,33,34-Pentakishomohopane-22R",,1.357,U,1.361,U,NA,,,
Priority Pollutant PAH,,18.542,,17.942,,3.3,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,68,,92,,,,,
Acenaphthene-d10,,69,,95,,,,,
Phenanthrene-d10,,71,,102,,,,,
Benzo(a)pyrene-d12,,64,,89,,,,,
5b(H)-Cholane,,72,,104,,,,,
,,,,,,,,,
,,,,,,,,,
