,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,140512-01: SRM 1974c,,,,,,,
,,,,,,,,,
Battelle ID,,CD306SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,10/08/14,,,,,,,
Extraction Date,,10/08/14,,,,,,,
Analysis Date,,11/13/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,90,,,,,,,
% Lipid,,0.96,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,10.12,,,,,,,
Size Unit-Basis,,G_WET,,Certified,,Passing,,Actual,
Units,,NG/G_WET,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
Naphthalene,,1.897,,,,,,,
C1-Naphthalenes,,1.065,,,,,,,
C2-Naphthalenes,,2.497,,,,,,,
C3-Naphthalenes,,7.969,,,,,,,
C4-Naphthalenes,,3.259,,,,,,,
Biphenyl,,0.14,J,,,,,,
Acenaphthylene,,0.202,J,,,,,,
Acenaphthene,,0.812,,,,,,,
Dibenzofuran,,0.49,J,,,,,,
Fluorene,,1.605,,2.31,0.04,31.73,,30.5,
C1-Fluorenes,,1.836,,,,,,,
C2-Fluorenes,,3.574,,,,,,,
C3-Fluorenes,,5.305,,,,,,,
Anthracene,,0.865,,1.17,0.08,36.84,,26.1,
Phenanthrene,,18.657,,19.6,0.40,32.04,,4.8,
C1-Phenanthrenes/Anthracenes,,12.457,,,,,,,
C2-Phenanthrenes/Anthracenes,,14.682,,,,,,,
C3-Phenanthrenes/Anthracenes,,9.764,,,,,,,
C4-Phenanthrenes/Anthracenes,,3.982,,,,,,,
Retene,,0.994,,,,,,,
Dibenzothiophene,,0.944,,1.53,0.02,31.31,,38.3,n
C1-Dibenzothiophenes,,7.249,,,,,,,
C2-Dibenzothiophenes,,5.279,,,,,,,
C3-Dibenzothiophenes,,5.743,,,,,,,
C4-Dibenzothiophenes,,3.289,,,,,,,
Fluoranthene,,51.282,,45.3,0.80,31.77,,13.2,
Pyrene,,28.41,,23.9,1.60,36.69,,18.9,
C1-Fluoranthenes/Pyrenes,,10.855,,,,,,,
C2-Fluoranthenes/Pyrenes,,3.992,,,,,,,
C3-Fluoranthenes/Pyrenes,,2.516,,,,,,,
Benzo(a)anthracene,,3.525,,5.69,0.11,31.93,,38,N
Chrysene,,17.082,,,,,,,
C1-Chrysenes,,3.005,,,,,,,
C2-Chrysenes,,1.922,,,,,,,
C3-Chrysenes,,0.213,U,,,,,,
C4-Chrysenes,,0.213,U,,,,,,
Benzo(b)fluoranthene,,6.584,,,,,,,
Benzo(k)fluoranthene,,5.351,,4.82,0.03,30.62,,11,
Benzo(e)pyrene,,8.47,,7.33,0.05,30.68,,15.6,
Benzo(a)pyrene,,1.713,,2.32,0.03,31.29,,26.2,
Perylene,,0.518,,0.56,0.02,33.93,,7.5,
"Indeno(1,2,3-cd)pyrene",,1.224,,,,,,,
"Dibenz(a,h)anthracene",,0.322,J,,,,,,
"Benzo(g,h,i)perylene",,2.766,,2.82,0.05,31.77,,1.9,
Total PAH,,263.099,,,,,,,
