,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,QAH-501,,QAH-502,,QAH-503,,QAH-504,,QAH-505,,QAH-506,,QAH-201,,QAH-202,,QAH-203,,QAH-204,,QAH-205,,QAH-206,,QAH-122,,QAH-301,,QAH-302,,QAH-302-REP,,QAH-303,,QAH-306,,QAH-304,,QAH-305,,QAH-307,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battelle ID,,L4803-P,,L4804-P,,L4805-P,,L4806-P,,L4807-P,,L4808-P,,L4809-P,,L4810-P,,L4811-P,,L4812-P,,L4813-P,,L4814-P,,L4815-P,,L4816-P,,L4817-P,,L4818-P,,L4819-P,,L4820-P,,L4821-P,,L4822-P,,L4823-P,
Sample Type,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,
Collection Date,,08/03/15,,08/04/15,,08/05/15,,08/05/15,,08/06/15,,08/06/15,,08/01/15,,08/01/15,,08/03/15,,08/04/15,,08/05/15,,08/05/15,,08/06/15,,08/01/15,,08/02/15,,08/02/15,,08/03/15,,08/03/15,,08/04/15,,08/05/15,,08/06/15,
Extraction Date,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,,08/27/15,
Analysis Date,,09/05/15,,09/05/15,,09/05/15,,09/05/15,,09/05/15,,09/05/15,,09/05/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,,09/06/15,
Analytical Instrument,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,
% Moisture,,81.01,,81.1,,80,,80.12,,79.65,,80.73,,74.88,,81.02,,77.44,,78.42,,77,,76.8,,80.97,,88.2,,87.01,,86.76,,83.52,,81.58,,89.11,,89.02,,91.59,
% Lipid,,4.06,,5.49,,4.42,,6.85,,6.7,,5.47,,7.03,,5.76,,5.17,,4.6,,4.64,,4.69,,3.91,,0.78,,0.91,,0.87,,1.39,,2.09,,1.04,,0.87,,0.66,
