,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,131205-02: SRM 1974c,,,,,,,
,,,,,,,,,
Battelle ID,,CG915SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,08/27/15,,,,,,,
Extraction Date,,08/27/15,,,,,,,
Analysis Date,,09/05/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,90,,,,,,,
% Lipid,,0.78,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,0.95,,,,,,,
Size Unit-Basis,,G_DRY,,Certified,,Passing,,Actual,
Units,,UG/G_DRY,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
n-Nonane,,0.278,J,,,,,,
n-Decane,,0.827,,,,,,,
n-Undecane,,0.131,J,,,,,,
n-Dodecane,,0.090,J,,,,,,
n-Tridecane,,0.064,J,,,,,,
Isoprenoid RRT 1380,,0.078,U,,,,,,
n-Tetradecane,,0.088,J,,,,,,
Isoprenoid RRT 1470,,0.108,U,,,,,,
n-Pentadecane,,0.215,J,,,,,,
n-Hexadecane,,0.151,J,,,,,,
Norpristane (1650),,0.109,U,,,,,,
n-Heptadecane,,0.331,J,,,,,,
Pristane,,0.180,J,,,,,,
n-Octadecane,,0.153,J,,,,,,
Phytane,,0.103,J,,,,,,
n-Nonadecane,,0.023,J,,,,,,
n-Eicosane,,0.071,J,,,,,,
n-Heneicosane,,0.056,J,,,,,,
n-Docosane,,0.067,J,,,,,,
n-Tricosane,,0.084,J,,,,,,
n-Tetracosane,,0.108,J,,,,,,
n-Pentacosane,,0.278,J,,,,,,
n-Hexacosane,,0.161,J,,,,,,
n-Heptacosane,,0.192,J,,,,,,
n-Octacosane,,0.122,J,,,,,,
n-Nonacosane,,0.287,J,,,,,,
n-Triacontane,,0.166,J,,,,,,
n-Hentriacontane,,0.321,J,,,,,,
n-Dotriacontane,,0.118,J,,,,,,
n-Tritriacontane,,0.094,J,,,,,,
n-Tetratriacontane,,0.111,J,,,,,,
n-Pentatriacontane,,0.097,J,,,,,,
n-Hexatriacontane,,0.050,J,,,,,,
n-Heptatriacontane,,0.039,J,,,,,,
n-Octatriacontane,,0.033,J,,,,,,
n-Nonatriacontane,,0.024,J,,,,,,
n-Tetracontane,,0.027,J,,,,,,
Sum SHC (C9-C40),,5.140,,,,,,,
SHC Total (C9-C40),,223.732,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,93,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
