,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,Procedural Blank,,,,,
,,,,,,,,,
Battelle ID,,CG913PB-P,,CG985PB-P,,,,,
Sample Type,,PB,,PB,,,,,
Collection Date,,08/27/15,,8/27/2015,,,,,
Extraction Date,,08/27/15,,8/27/2015,,,,,
Analysis Date,,09/04/15,,9/4/2015,,,,,
Analytical Instrument,,MS,,MS,,,,,
% Moisture,,82.19, ,82.19,,,,,
% Lipid,,NA,,NA,,,,,
Matrix,,TISSUE,,TISSUE,,,,,
Sample Size,,3.57,,3.57,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,,,,
,,,,,,,,,
Naphthalene,,2.281,,1.877,,,,,
C1-Naphthalenes,,2.924,U,2.924,U,,,,
C2-Naphthalenes,,2.924,U,2.924,U,,,,
C3-Naphthalenes,,2.924,U,2.924,U,,,,
C4-Naphthalenes,,2.924,U,2.924,U,,,,
Biphenyl,,1.216,U,1.216,U,,,,
Acenaphthylene,,1.020,U,1.020,U,,,,
Acenaphthene,,1.042,U,1.042,U,,,,
Dibenzofuran,,2.235,U,2.235,U,,,,
Fluorene,,2.947,U,2.947,U,,,,
C1-Fluorenes,,2.947,U,2.947,U,,,,
C2-Fluorenes,,2.947,U,2.947,U,,,,
C3-Fluorenes,,2.947,U,2.947,U,,,,
Anthracene,,0.711,U,0.711,U,,,,
Phenanthrene,,0.676,J,0.681,J,,,,
C1-Phenanthrenes/Anthracenes,,2.566,U,2.566,U,,,,
C2-Phenanthrenes/Anthracenes,,2.566,U,2.566,U,,,,
C3-Phenanthrenes/Anthracenes,,2.566,U,2.566,U,,,,
C4-Phenanthrenes/Anthracenes,,2.566,U,2.566,U,,,,
Retene,,1.322,U,1.322,U,,,,
Dibenzothiophene,,1.249,U,1.249,U,,,,
C1-Dibenzothiophenes,,1.249,U,1.249,U,,,,
C2-Dibenzothiophenes,,1.249,U,1.249,U,,,,
C3-Dibenzothiophenes,,1.249,U,1.249,U,,,,
C4-Dibenzothiophenes,,1.249,U,1.249,U,,,,
Fluoranthene,,0.924,U,0.924,U,,,,
Pyrene,,0.829,U,0.829,U,,,,
C1-Fluoranthenes/Pyrenes,,0.829,U,0.829,U,,,,
C2-Fluoranthenes/Pyrenes,,0.829,U,0.829,U,,,,
C3-Fluoranthenes/Pyrenes,,0.829,U,0.829,U,,,,
