Unique ,Year,Date ,Type,TSN,Species,Rep,STA,Depth (m),Lat DD,Long DD,Acidified?,Sampling,Composit,Size,Notes,Unique non,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C,Unique acid,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C
252,2014,6-Aug-14,Animal,94230,Anonyx sp.,1,1.05,64.9,71.320,-152.090,Non only,Trawl,,,muscle only,252,0.474,16.301,2.013,-24.359,17.566,,,,,,
266,2014,6-Aug-14,Animal,94232,Anonyx nugax,1,6,54.9,71.283,-151.560,Non only,Trawl,n=3,small,muscle only,266,0.447,18.283,2.046,-21.892,16.014,,,,,,
268,2014,6-Aug-14,Animal,94232,Anonyx nugax,2,6,54.9,71.283,-151.560,Non only,Trawl,n=3,small,muscle only,668,0.471,18.148,2.503,-23.533,18.958,,,,,,
270,2014,6-Aug-14,Animal,80837,Astarte montagui,1,6,54.9,71.283,-151.560,Non only,Trawl,,,muscle,270,0.402,9.804,2.775,-21.568,13.806,,,,,,
280,2014,6-Aug-14,Animal,69893,Margarites costalis,1,6,54.9,71.283,-151.560,Non only,Trawl,,,muscle,280,0.381,12.006,3.187,-20.1,12.795,,,,,,
282,2014,6-Aug-14,Animal,69893,Margarites costalis,2,6,54.9,71.283,-151.560,Non only,Trawl,,,muscle,282,0.389,12.162,2.656,-18.6,11.494,,,,,,
286,2014,5-Aug-14,Animal,94230,Anonyx sp.,1,11,43.5,70.884,-148.135,Non only,Trawl,,,muscle,286,0.382,17.238,2.222,-22.157,14.588,,,,,,
288,2014,5-Aug-14,Animal,94230,Anonyx sp.,2,11,43.5,70.884,-148.135,Non only,Trawl,,,muscle,288,0.502,15.783,2.651,-20.651,15.020,,,,,,
290,2014,5-Aug-14,Animal,80837,Astarte montagui,1,11,43.5,70.884,-148.135,Non only,Trawl,,,muscle,290,0.404,9.702,3.316,-20.568,14.623,,,,,,
292,2014,5-Aug-14,Animal,80837,Astarte montagui,2,11,43.5,70.884,-148.135,Non only,Trawl,,,muscle,292,0.418,9.371,3.275,-21.599,16.293,,,,,,
