Year,Date,Station, Sample,Rep ,Depth (m),Lat DD,Long DD,NH4 (µM),Salinity,Chl a (mg/m2),Comments
2014,31-Jul-14,7,Sediment,1 of 2,26.0,70.850,-150.061,122.31,34,0.54,
2014,31-Jul-14,7,Sediment,2 of 2,26.0,70.850,-150.061,92.96,34,,
2014,31-Jul-14,8,Sediment,1 of 2,18.5,70.757,-149.440,147.09,30,3.62,
2014,31-Jul-14,8,Sediment,2 of 2,18.5,70.757,-149.440,188.27,34,,
2014,31-Jul-14,6D,Sediment,1 of 2,18.9,70.749,-150.475,180.64,35,14.51,
2014,31-Jul-14,6D,Sediment,2 of 2,18.9,70.749,-150.475,203.52,35,,
2014,1-Aug-14,10,Sediment,1 of 2,25.0,70.713,-148.765,58.64,35,3.48,
2014,1-Aug-14,10,Sediment,2 of 2,25.0,70.713,-148.765,41.87,35,,
2014,1-Aug-14,5(5),Sediment,1 of 2,19.9,70.437,-147.344,151.67,32,0.78,
2014,1-Aug-14,5(5),Sediment,2 of 2,19.9,70.437,-147.344,131.46,32,,
2014,1-Aug-14,L250-5,Sediment,1 of 2,29.3,70.365,-146.118,27.00,34,1.39,
2014,1-Aug-14,L250-5,Sediment,2 of 2,29.3,70.365,-146.118,48.35,34,,
2014,1-Aug-14,T-3,Sediment,1 of 2,37.7,70.451,-145.837,131.84,34,2.06,
2014,1-Aug-14,T-3,Sediment,2 of 2,37.7,70.451,-145.837,56.74,35,,
2014,2-Aug-14,20,Sediment,1 of 2,39.5,70.358,-144.495,67.41,35,0.72,
2014,2-Aug-14,20,Sediment,2 of 2,39.5,70.358,-144.495,84.57,35,,
2014,2-Aug-14,21,Sediment,1 of 2,36.6,70.275,-143.910,70.46,36,0.40,
2014,2-Aug-14,21,Sediment,2 of 2,36.6,70.275,-143.910,71.99,36,,
2014,2-Aug-14,22,Sediment,1 of 2,35.2,70.192,-142.905,59.41,36,3.56,
2014,2-Aug-14,22,Sediment,2 of 2,35.2,70.192,-142.905,71.23,36,,
2014,3-Aug-14,23,Sediment,1 of 2,35.9,70.004,-141.963,43.39,35,4.44,
2014,3-Aug-14,23,Sediment,2 of 2,35.9,70.004,-141.963,29.29,34,,
2014,3-Aug-14,24,Sediment,1 of 2,53.5,70.260,-141.763,41.11,36,2.37,
2014,3-Aug-14,24,Sediment,2 of 2,53.5,70.260,-141.763,41.49,35,,
2014,4-Aug-14,12,Sediment,1 of 2,38.5,70.672,-147.591,37.68,35,21.35,
2014,4-Aug-14,12,Sediment,2 of 2,38.5,70.672,-147.591,34.25,35,,
2014,4-Aug-14,15,Sediment,1 of 2,40.0,70.646,-146.661,55.59,35,1.85,
2014,4-Aug-14,15,Sediment,2 of 2,40.0,70.646,-146.661,71.99,35,,
2014,4-Aug-14,16,Sediment,1 of 2,61.2,70.734,-145.992,83.81,34,0.62,
2014,4-Aug-14,16,Sediment,2 of 2,61.2,70.734,-145.992,50.64,34,,
2014,4-Aug-14,25,Sediment,1 of 2,22.7,69.851,-141.718,59.03,34,5.63,
2014,4-Aug-14,25,Sediment,2 of 2,22.7,69.851,-141.718,46.44,34,,
2014,4-Aug-14,1C,Sediment,1 of 2,25.1,70.158,-144.805,53.31,34,0.45,
2014,4-Aug-14,1C,Sediment,2 of 2,25.1,70.158,-144.805,50.64,34,,
2014,5-Aug-14,9,Sediment,1 of 2,37.1,70.963,-148.995,74.66,37,4.85,
2014,5-Aug-14,9,Sediment,2 of 2,37.1,70.963,-148.995,86.09,37,,
2014,5-Aug-14,11,Sediment,1 of 2,43.5,70.884,-148.135,77.71,35,2.37,
2014,5-Aug-14,11,Sediment,2 of 2,43.5,70.884,-148.135,99.06,35,,
2014,5-Aug-14,6F,Sediment,1 of 2,13.3,70.672,-151.188,66.65,32,,
2014,5-Aug-14,6F,Sediment,2 of 2,13.3,70.672,-151.188,69.70,30,,
2014,6-Aug-14,1,Sediment,1 of 2,64.9,71.320,-152.090,36.15,34,1.01,
2014,6-Aug-14,1,Sediment,2 of 2,64.9,71.320,-152.090,46.44,34,,
2014,6-Aug-14,1.05,Sediment,1 of 2,15.8,71.072,-152.582,98.68,34,0.17,
2014,6-Aug-14,1.05,Sediment,2 of 2,15.8,71.072,-152.582,108.97,34,,
2014,6-Aug-14,5,Sediment,1 of 2,19.1,70.953,-151.354,37.30,30,0.11,
2014,6-Aug-14,5,Sediment,2 of 2,19.1,70.953,-151.354,34.25,30,,
2014,6-Aug-14,6,Sediment,1 of 2,54.9,71.283,-151.560,28.91,34,2.81,
2014,6-Aug-14,6,Sediment,2 of 2,54.9,71.283,-151.560,46.83,35,,
2014,6-Aug-14,7C,Sediment,1 of 2,14.8,70.913,-151.995,61.31,34,0.15,
2014,6-Aug-14,7C,Sediment,2 of 2,14.8,70.913,-151.995,55.59,34,,
2014,7-Aug-14,5B,Sediment,1 of 2,17.7,70.580,-148.933,25.10,32,0.29,
2014,7-Aug-14,5B,Sediment,2 of 2,17.7,70.580,-148.933,23.57,32,,
2015,1-Aug-15,152 W0,Sediment,1 of 2,15.9,71.00417,-152.37927,140.57,35,10.52,
2015,1-Aug-15,152 W0,Sediment,2 of 2,15.9,71.00417,-152.37927,92.89,35,,
2015,1-Aug-15,152 W1,Sediment,1 of 2,38,71.19385,-152.25312,127.13,35,6.75,
2015,1-Aug-15,152 W1,Sediment,2 of 2,38,71.19385,-152.25312,134.49,35,,
