SiteCode,VariableCode,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,Qualifier,ValueAccuracy
Colville River,TSS,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,677,nc,-9999,meter,Offset value represents depth below river surface.,,0.01
Colville River,Al-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,4.45,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,As-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,10.9,nc,-9999,meter,Offset value represents depth below river surface.,,0.5
Colville River,Ba-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,489,nc,-9999,meter,Offset value represents depth below river surface.,,1.5
Colville River,Cu-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,33.0,nc,-9999,meter,Offset value represents depth below river surface.,,0.1
Colville River,Fe-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,3.71,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,Mn-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,618,nc,-9999,meter,Offset value represents depth below river surface.,,49
Colville River,N-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,0.26,nc,-9999,meter,Offset value represents depth below river surface.,,0.05
Colville River,P-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,0.08,nc,-9999,meter,Offset value represents depth below river surface.,,0.001
Colville River,Si-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,28.1,nc,-9999,meter,Offset value represents depth below river surface.,,0.4
Colville River,Zn-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,73.5,nc,-9999,meter,Offset value represents depth below river surface.,,0.7
Colville River,POC,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-1,2.38,nc,-9999,meter,Offset value represents depth below river surface.,,0.2
Colville River,TSS,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,684,nc,-9999,meter,Offset value represents depth below river surface.,,0.01
Colville River,Al-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,4.59,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,As-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,11.6,nc,-9999,meter,Offset value represents depth below river surface.,,0.5
Colville River,Ba-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,471,nc,-9999,meter,Offset value represents depth below river surface.,,1.5
Colville River,Cu-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,33.3,nc,-9999,meter,Offset value represents depth below river surface.,,0.1
Colville River,Fe-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,3.78,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,Mn-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,604,nc,-9999,meter,Offset value represents depth below river surface.,,49
Colville River,N-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,0.24,nc,-9999,meter,Offset value represents depth below river surface.,,0.05
Colville River,P-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,0.08,nc,-9999,meter,Offset value represents depth below river surface.,,0.001
Colville River,Si-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,27.9,nc,-9999,meter,Offset value represents depth below river surface.,,0.4
Colville River,Zn-P,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,75.4,nc,-9999,meter,Offset value represents depth below river surface.,,0.7
Colville River,POC,JT-2015-SM-Colville-River-5-19-15-lab-duplicate-2,2.43,nc,-9999,meter,Offset value represents depth below river surface.,,0.2
Colville River,TSS,JT-2015-SM-Colville-River-5-20-15,338,nc,-9999,meter,Offset value represents depth below river surface.,,0.01
Colville River,Al-P,JT-2015-SM-Colville-River-5-20-15,6.84,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,As-P,JT-2015-SM-Colville-River-5-20-15,7.0,nc,-9999,meter,Offset value represents depth below river surface.,,0.5
Colville River,Ba-P,JT-2015-SM-Colville-River-5-20-15,663,nc,-9999,meter,Offset value represents depth below river surface.,,1.5
Colville River,Cu-P,JT-2015-SM-Colville-River-5-20-15,33.9,nc,-9999,meter,Offset value represents depth below river surface.,,0.1
Colville River,Fe-P,JT-2015-SM-Colville-River-5-20-15,4.47,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,Mn-P,JT-2015-SM-Colville-River-5-20-15,948,nc,-9999,meter,Offset value represents depth below river surface.,,49
Colville River,N-P,JT-2015-SM-Colville-River-5-20-15,0.25,nc,-9999,meter,Offset value represents depth below river surface.,,0.05
Colville River,P-P,JT-2015-SM-Colville-River-5-20-15,0.08,nc,-9999,meter,Offset value represents depth below river surface.,,0.001
Colville River,Si-P,JT-2015-SM-Colville-River-5-20-15,30.1,nc,-9999,meter,Offset value represents depth below river surface.,,0.4
Colville River,Zn-P,JT-2015-SM-Colville-River-5-20-15,87.4,nc,-9999,meter,Offset value represents depth below river surface.,,0.7
Colville River,POC,JT-2015-SM-Colville-River-5-20-15,2.53,nc,-9999,meter,Offset value represents depth below river surface.,,0.2
Colville River,TSS,JT-2015-SM-Colville-River-5-22-15,318,nc,-9999,meter,Offset value represents depth below river surface.,,0.01
Colville River,Al-P,JT-2015-SM-Colville-River-5-22-15,6.62,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,As-P,JT-2015-SM-Colville-River-5-22-15,7.3,nc,-9999,meter,Offset value represents depth below river surface.,,0.5
Colville River,Ba-P,JT-2015-SM-Colville-River-5-22-15,551,nc,-9999,meter,Offset value represents depth below river surface.,,1.5
Colville River,Cu-P,JT-2015-SM-Colville-River-5-22-15,37.6,nc,-9999,meter,Offset value represents depth below river surface.,,0.1
Colville River,Fe-P,JT-2015-SM-Colville-River-5-22-15,4.40,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,Mn-P,JT-2015-SM-Colville-River-5-22-15,698,nc,-9999,meter,Offset value represents depth below river surface.,,49
Colville River,N-P,JT-2015-SM-Colville-River-5-22-15,0.36,nc,-9999,meter,Offset value represents depth below river surface.,,0.05
Colville River,P-P,JT-2015-SM-Colville-River-5-22-15,0.08,nc,-9999,meter,Offset value represents depth below river surface.,,0.001
Colville River,Si-P,JT-2015-SM-Colville-River-5-22-15,28.2,nc,-9999,meter,Offset value represents depth below river surface.,,0.4
Colville River,Zn-P,JT-2015-SM-Colville-River-5-22-15,87.9,nc,-9999,meter,Offset value represents depth below river surface.,,0.7
Colville River,POC,JT-2015-SM-Colville-River-5-22-15,2.51,nc,-9999,meter,Offset value represents depth below river surface.,,0.2
Colville River,TSS,JT-2015-SM-Colville-River-5-23-15,997,nc,-9999,meter,Offset value represents depth below river surface.,,0.01
Colville River,Al-P,JT-2015-SM-Colville-River-5-23-15,6.09,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,As-P,JT-2015-SM-Colville-River-5-23-15,6.1,nc,-9999,meter,Offset value represents depth below river surface.,,0.5
Colville River,Ba-P,JT-2015-SM-Colville-River-5-23-15,601,nc,-9999,meter,Offset value represents depth below river surface.,,1.5
Colville River,Cu-P,JT-2015-SM-Colville-River-5-23-15,32.3,nc,-9999,meter,Offset value represents depth below river surface.,,0.1
Colville River,Fe-P,JT-2015-SM-Colville-River-5-23-15,3.78,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,Mn-P,JT-2015-SM-Colville-River-5-23-15,682,nc,-9999,meter,Offset value represents depth below river surface.,,49
Colville River,N-P,JT-2015-SM-Colville-River-5-23-15,0.21,nc,-9999,meter,Offset value represents depth below river surface.,,0.05
Colville River,P-P,JT-2015-SM-Colville-River-5-23-15,0.08,nc,-9999,meter,Offset value represents depth below river surface.,,0.001
Colville River,Si-P,JT-2015-SM-Colville-River-5-23-15,29.5,nc,-9999,meter,Offset value represents depth below river surface.,,0.4
Colville River,Zn-P,JT-2015-SM-Colville-River-5-23-15,76.4,nc,-9999,meter,Offset value represents depth below river surface.,,0.7
Colville River,POC,JT-2015-SM-Colville-River-5-23-15,2.96,nc,-9999,meter,Offset value represents depth below river surface.,,0.2
Colville River,TSS,JT-2015-SM-Colville-River-5-24-15,637,nc,-9999,meter,Offset value represents depth below river surface.,,0.01
Colville River,Al-P,JT-2015-SM-Colville-River-5-24-15,6.13,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,As-P,JT-2015-SM-Colville-River-5-24-15,4.7,nc,-9999,meter,Offset value represents depth below river surface.,,0.5
Colville River,Ba-P,JT-2015-SM-Colville-River-5-24-15,500,nc,-9999,meter,Offset value represents depth below river surface.,,1.5
Colville River,Cu-P,JT-2015-SM-Colville-River-5-24-15,36.4,nc,-9999,meter,Offset value represents depth below river surface.,,0.1
Colville River,Fe-P,JT-2015-SM-Colville-River-5-24-15,4.07,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,Mn-P,JT-2015-SM-Colville-River-5-24-15,625,nc,-9999,meter,Offset value represents depth below river surface.,,49
Colville River,N-P,JT-2015-SM-Colville-River-5-24-15,0.26,nc,-9999,meter,Offset value represents depth below river surface.,,0.05
Colville River,P-P,JT-2015-SM-Colville-River-5-24-15,0.08,nc,-9999,meter,Offset value represents depth below river surface.,,0.001
Colville River,Si-P,JT-2015-SM-Colville-River-5-24-15,29.2,nc,-9999,meter,Offset value represents depth below river surface.,,0.4
Colville River,Zn-P,JT-2015-SM-Colville-River-5-24-15,77.0,nc,-9999,meter,Offset value represents depth below river surface.,,0.7
Colville River,POC,JT-2015-SM-Colville-River-5-24-15,2.51,nc,-9999,meter,Offset value represents depth below river surface.,,0.2
Colville River,TSS,JT-2015-SM-Colville-River-5-26-15,187,nc,-9999,meter,Offset value represents depth below river surface.,,0.01
Colville River,Al-P,JT-2015-SM-Colville-River-5-26-15,7.24,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,As-P,JT-2015-SM-Colville-River-5-26-15,6.1,nc,-9999,meter,Offset value represents depth below river surface.,,0.5
Colville River,Ba-P,JT-2015-SM-Colville-River-5-26-15,555,nc,-9999,meter,Offset value represents depth below river surface.,,1.5
Colville River,Cu-P,JT-2015-SM-Colville-River-5-26-15,39.9,nc,-9999,meter,Offset value represents depth below river surface.,,0.1
Colville River,Fe-P,JT-2015-SM-Colville-River-5-26-15,4.71,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,Mn-P,JT-2015-SM-Colville-River-5-26-15,664,nc,-9999,meter,Offset value represents depth below river surface.,,49
Colville River,N-P,JT-2015-SM-Colville-River-5-26-15,0.44,nc,-9999,meter,Offset value represents depth below river surface.,,0.05
Colville River,P-P,JT-2015-SM-Colville-River-5-26-15,0.08,nc,-9999,meter,Offset value represents depth below river surface.,,0.001
Colville River,Si-P,JT-2015-SM-Colville-River-5-26-15,27.0,nc,-9999,meter,Offset value represents depth below river surface.,,0.4
Colville River,Zn-P,JT-2015-SM-Colville-River-5-26-15,89.9,nc,-9999,meter,Offset value represents depth below river surface.,,0.7
Colville River,POC,JT-2015-SM-Colville-River-5-26-15,2.55,nc,-9999,meter,Offset value represents depth below river surface.,,0.2
Colville River,TSS,JT-2015-SM-Colville-River-5-27-15,202,nc,-9999,meter,Offset value represents depth below river surface.,,0.01
Colville River,Al-P,JT-2015-SM-Colville-River-5-27-15,6.87,nc,-9999,meter,Offset value represents depth below river surface.,,0.03
Colville River,As-P,JT-2015-SM-Colville-River-5-27-15,7.3,nc,-9999,meter,Offset value represents depth below river surface.,,0.5
