"year","month","day","date","gear","lon","lat","hauljoin","bot_depth","bot_temp","area_swept_km2","cpue_kg_km2"
2012,9,11,2012-09-11,"beam",-163.64705,72.001565,-9721,39,-1.1,0.00027084,0
2012,9,10,2012-09-10,"beam",-166.8501,72.50724,-9717,50,-0.8,0.000390461,0
2012,9,9,2012-09-09,"beam",-165.817365,73.00034,-9713,59,-1.4,0.00027084,0
2012,9,8,2012-09-08,"beam",-161.904175,72.49981,-9709,43,-1.2,0.000302438,0
2012,9,7,2012-09-07,"beam",-160.23024,72.4851,-9706,46,-1.4,0.000336293,0
2012,8,28,2012-08-28,"beam",-168.498985,68.501435,-9703,51,2.3,0.000462685,0
2012,8,28,2012-08-28,"beam",-168.49775,68.99786,-9701,52,2,0.000485255,0
2012,9,5,2012-09-05,"beam",-159.02971,71.50226,-9697,52,-1.7,0.000282125,0
2012,9,18,2012-09-18,"beam",-168.510275,66.00607,-9687,54,1.1,0.000404003,23895.8621594394
2012,9,18,2012-09-18,"beam",-168.496375,66.496455,-9685,52,1.8,0.000672586,3660.49843440095
2012,9,17,2012-09-17,"beam",-167.21815,67.003825,-9684,38,2,0.000363377,0
2012,9,17,2012-09-17,"beam",-167.18165,67.49494,-9683,45,2.1,0.000336293,0
2012,9,16,2012-09-16,"beam",-168.481775,70.00402,-9680,43,0.6,0.000255041,1176.2814606279
2012,9,15,2012-09-15,"beam",-168.498775,70.49414,-9678,39,0.1,0.000306952,0
2012,9,15,2012-09-15,"beam",-168.50144,70.99504,-9676,46,0,0.000279868,0
2012,9,14,2012-09-14,"beam",-168.511275,71.50636,-9675,48,-0.3,0.000266326,0
2012,9,14,2012-09-14,"beam",-166.911445,72.00706,-9671,47,-0.8,0.000227957,0
2012,9,13,2012-09-13,"beam",-165.427025,70.996755,-9667,41,0.5,0.000343064,0
2012,9,12,2012-09-12,"beam",-165.345675,71.49975,-9662,42,-0.6,0.000372405,0
2012,9,12,2012-09-12,"beam",-163.81569,71.49297,-9660,44,-1.1,0.000507825,0
2012,9,11,2012-09-11,"beam",-162.2467,72.026625,-9659,28,-1.6,0.000471713,0
2012,8,27,2012-08-27,"beam",-168.4792,69.494025,-9647,51,4,0.000507825,0
2012,8,27,2012-08-27,"beam",-167.119,69.501725,-9645,46,5.4,0.000471713,0
2012,8,26,2012-08-26,"beam",-165.6554,69.496115,-9643,35,8.5,0.000458171,0
2012,8,26,2012-08-26,"beam",-165.60376,70.002515,-9640,41,5.4,0.000663558,0
2012,8,25,2012-08-25,"beam",-164.00121,70.5042,-9638,42,6.1,0.000462685,0
2012,8,25,2012-08-25,"beam",-162.2938,70.9924,-9636,44,1.9,0.000873459,0
2012,8,24,2012-08-24,"beam",-157.401215,71.51999,-9635,89,-1.7,0.000485255,0
2012,8,23,2012-08-23,"beam",-160.837945,70.993115,-9628,44,1.7,0.000665815,865.105171857047
2012,8,22,2012-08-22,"beam",-164.106215,70.003255,-9623,32,6.8,0.000561993,0
2012,8,21,2012-08-21,"beam",-165.68324,68.997535,-9619,20,9.2,0.000537166,0
2012,8,20,2012-08-20,"beam",-165.823275,67.998925,-9616,28,9.3,0.000458171,1916.3150875983
