"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2004,1,1,11913.9080171451,0.690437436301672,8225.80810769163
2005,1,1,237.601539585439,0.411001452477152,97.654577880423
2006,1,1,237.601539585439,0.411001452477152,97.654577880423
2007,1,1,12389.9092789207,0.387050615561463,4795.52201315691
2008,1,1,21392.1643561492,0.482782032126044,10327.7525794361
2009,1,1,29965.4013327347,0.246291925730388,7380.23639952315
2010,1,1,237.601539585439,0.411001452477152,97.654577880423
2011,1,1,237.601539585439,0.411001452477152,97.654577880423
2012,1,1,15942.8916974815,0.228395641872427,3641.2869825489
2013,1,1,237.601539585439,0.411001452477152,97.654577880423
2014,1,1,237.601539585439,0.411001452477152,97.654577880423
2015,1,1,237.601539585439,0.411001452477152,97.654577880423
2016,1,1,237.601539585439,0.411001452477152,97.654577880423
2017,1,1,15213.1193537199,0.189607700215243,2884.52457375884
2018,1,1,237.601539585439,0.411001452477152,97.654577880423
2019,1,1,13471.7481240477,0.227074973286428,3059.09684538963
