"region","gear","common_name","Omega1","Epsilon1","Omega2","Epsilon2","obs_model","status","max_grad","rrmse","aic"
"chukchi","beam","purple-orange sea star",0,0,0,0,"PosLink","confirm_gradient",2.81515388815175e-10,3.406,830.571571568095
"chukchi","beam","purple-orange sea star",1,0,0,0,"PosLink","confirm_gradient",3.60511176467071e-10,2.743,791.305925170573
"chukchi","beam","purple-orange sea star",0,1,0,0,"PosLink",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",1,1,0,0,"PosLink",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",0,0,1,0,"PosLink","confirm_gradient",3.74164325911419e-08,3.335,833.704711928644
"chukchi","beam","purple-orange sea star",1,0,1,0,"PosLink","confirm_gradient",5.43155453947008e-09,2.769,791.375818729417
"chukchi","beam","purple-orange sea star",0,1,1,0,"PosLink","confirm_gradient",6.50313158878646e-09,3.015,811.08568645277
"chukchi","beam","purple-orange sea star",1,1,1,0,"PosLink","confirm_gradient",3.59751872736069e-09,2.769,793.375818730755
"chukchi","beam","purple-orange sea star",0,0,0,1,"PosLink","confirm_gradient",3.29538835802667e-09,3.336,833.935015480115
"chukchi","beam","purple-orange sea star",1,0,0,1,"PosLink","confirm_gradient",4.43922948123454e-08,2.646,791.856627597272
"chukchi","beam","purple-orange sea star",0,1,0,1,"PosLink",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",1,1,0,1,"PosLink","confirm_gradient",7.63775315135717e-05,1.491,795.309040778705
"chukchi","beam","purple-orange sea star",0,0,1,1,"PosLink",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",1,0,1,1,"PosLink","confirm_gradient",1.31843140849242e-08,2.769,793.375818819514
"chukchi","beam","purple-orange sea star",0,1,1,1,"PosLink","confirm_gradient",1.25416343976781e-10,3.015,813.085686452675
"chukchi","beam","purple-orange sea star",1,1,1,1,"PosLink","confirm_gradient",1.15271591660804e-07,2.769,795.375818756875
"chukchi","beam","purple-orange sea star",0,0,0,0,"Log_Delta","confirm_gradient",1.8609455921813e-11,3.583,834.437099760795
"chukchi","beam","purple-orange sea star",1,0,0,0,"Log_Delta","confirm_gradient",6.44462261334411e-12,3.479,790.650414373227
"chukchi","beam","purple-orange sea star",0,1,0,0,"Log_Delta","confirm_gradient",5.02886621234211e-11,3.608,809.511675552004
"chukchi","beam","purple-orange sea star",1,1,0,0,"Log_Delta","confirm_gradient",5.24612493890686e-07,3.479,792.650412280129
"chukchi","beam","purple-orange sea star",0,0,1,0,"Log_Delta","confirm_gradient",2.09725239474342e-09,3.362,838.356001865342
"chukchi","beam","purple-orange sea star",1,0,1,0,"Log_Delta","confirm_gradient",8.94704443865635e-09,3.154,794.569316428283
"chukchi","beam","purple-orange sea star",0,1,1,0,"Log_Delta","confirm_gradient",3.2855496101547e-11,3.309,813.430577656287
"chukchi","beam","purple-orange sea star",1,1,1,0,"Log_Delta",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",0,0,0,1,"Log_Delta","confirm_gradient",2.93509518670398e-07,2.749,837.434114584274
"chukchi","beam","purple-orange sea star",1,0,0,1,"Log_Delta","confirm_gradient",1.74303249764067e-09,1.74,793.647429196745
"chukchi","beam","purple-orange sea star",0,1,0,1,"Log_Delta","confirm_gradient",4.70409496378724e-09,2.207,812.508690377078
"chukchi","beam","purple-orange sea star",1,1,0,1,"Log_Delta","confirm_gradient",4.31113455674703e-10,1.74,795.647429196727
"chukchi","beam","purple-orange sea star",0,0,1,1,"Log_Delta","confirm_gradient",8.71551271526574e-08,2.749,839.434114584294
"chukchi","beam","purple-orange sea star",1,0,1,1,"Log_Delta","confirm_gradient",2.38251069301605e-07,1.74,795.647429196803
"chukchi","beam","purple-orange sea star",0,1,1,1,"Log_Delta","confirm_gradient",8.57098894189978e-11,2.207,814.508690375248
"chukchi","beam","purple-orange sea star",1,1,1,1,"Log_Delta","confirm_gradient",5.83266768217072e-11,1.74,797.647429196721
"chukchi","beam","purple-orange sea star",0,0,0,0,"Gamma_Delta","confirm_gradient",7.24476289865231e-13,3.406,830.571571568094
"chukchi","beam","purple-orange sea star",1,0,0,0,"Gamma_Delta","confirm_gradient",4.79960506893917e-08,3.09,786.784885901338
"chukchi","beam","purple-orange sea star",0,1,0,0,"Gamma_Delta","confirm_gradient",1.17080993788932e-08,3.195,805.646147327082
"chukchi","beam","purple-orange sea star",1,1,0,0,"Gamma_Delta","confirm_gradient",1.9145306637049e-10,3.09,788.784886181105
"chukchi","beam","purple-orange sea star",0,0,1,0,"Gamma_Delta","confirm_gradient",4.50950105035375e-08,3.335,833.704711975855
"chukchi","beam","purple-orange sea star",1,0,1,0,"Gamma_Delta",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",0,1,1,0,"Gamma_Delta",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",1,1,1,0,"Gamma_Delta",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",0,0,0,1,"Gamma_Delta",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",1,0,0,1,"Gamma_Delta",NA,NA,NA,NA
"chukchi","beam","purple-orange sea star",0,1,0,1,"Gamma_Delta","confirm_gradient",3.74811293113453e-11,3.056,809.009591271056
