"region","gear","common_name","Omega1","Epsilon1","Omega2","Epsilon2","obs_model","status","max_grad","rrmse","aic"
"chukchi","beam","saffron cod","0","0","0","0","PosLink","confirm_gradient",6.23319201073949e-12,3.463,484.233635229526
"chukchi","beam","saffron cod","IID","0","0","0","PosLink","confirm_gradient",1.37885058926202e-09,2.455,455.381264276773
"chukchi","beam","saffron cod","0","IID","0","0","PosLink",NA,NA,NA,NA
"chukchi","beam","saffron cod","IID","IID","0","0","PosLink","confirm_gradient",2.10861887950387e-08,0.301,461.763499343083
"chukchi","beam","saffron cod","0","0","IID","0","PosLink","confirm_gradient",2.18742735036415e-09,3.204,473.779327454374
"chukchi","beam","saffron cod","IID","0","IID","0","PosLink","confirm_gradient",9.06257497865215e-09,2.229,448.342925255365
"chukchi","beam","saffron cod","0","IID","IID","0","PosLink","confirm_gradient",5.15436775219147e-05,0.181,465.272966228564
"chukchi","beam","saffron cod","IID","IID","IID","0","PosLink","confirm_gradient",8.36591268482678e-09,2.229,450.342925203277
"chukchi","beam","saffron cod","0","0","0","IID","PosLink","confirm_gradient",9.1505103494427e-10,2.918,479.572654792015
"chukchi","beam","saffron cod","IID","0","0","IID","PosLink","confirm_gradient",3.01281866121883e-09,1.488,453.673972101352
"chukchi","beam","saffron cod","0","IID","0","IID","PosLink","confirm_gradient",2.70742965824411e-08,1.233,470.690836830621
"chukchi","beam","saffron cod","IID","IID","0","IID","PosLink","confirm_gradient",1.74686642928634e-09,1.488,455.673972101661
"chukchi","beam","saffron cod","0","0","IID","IID","PosLink","confirm_gradient",3.07846497182851e-08,3.044,476.366487652688
"chukchi","beam","saffron cod","IID","0","IID","IID","PosLink","confirm_gradient",8.25663970527302e-09,2.229,450.342925132823
"chukchi","beam","saffron cod","0","IID","IID","IID","PosLink","confirm_gradient",5.03191133205405e-09,1.962,466.565536069848
"chukchi","beam","saffron cod","IID","IID","IID","IID","PosLink","confirm_gradient",5.33192837104401e-10,2.229,452.342925203653
"chukchi","beam","saffron cod","0","0","0","0","Log_Delta","confirm_gradient",3.10926987548175e-12,3.497,476.530972520054
"chukchi","beam","saffron cod","IID","0","0","0","Log_Delta","confirm_gradient",2.66722084973914e-08,3.094,456.847227042999
"chukchi","beam","saffron cod","0","IID","0","0","Log_Delta","confirm_gradient",4.15144880805407e-07,3.143,471.521984617821
"chukchi","beam","saffron cod","IID","IID","0","0","Log_Delta","confirm_gradient",1.63076676606977e-08,3.094,458.847226959787
"chukchi","beam","saffron cod","0","0","IID","0","Log_Delta","confirm_gradient",4.10339026127949e-12,3.223,469.8647282353
"chukchi","beam","saffron cod","IID","0","IID","0","Log_Delta","confirm_gradient",9.9179775503444e-11,2.935,450.180982800984
"chukchi","beam","saffron cod","0","IID","IID","0","Log_Delta","confirm_gradient",1.24522614441958e-11,2.91,464.855740454855
"chukchi","beam","saffron cod","IID","IID","IID","0","Log_Delta","confirm_gradient",6.75710523090345e-08,2.935,452.180982939255
"chukchi","beam","saffron cod","0","0","0","IID","Log_Delta","confirm_gradient",2.66253225237107e-11,3.003,478.59382088364
"chukchi","beam","saffron cod","IID","0","0","IID","Log_Delta","confirm_gradient",1.13486997577184e-11,1.917,458.910075449302
"chukchi","beam","saffron cod","0","IID","0","IID","Log_Delta","confirm_gradient",1.70617964201369e-10,2.164,473.584833103283
"chukchi","beam","saffron cod","IID","IID","0","IID","Log_Delta","confirm_gradient",2.63749022622051e-11,1.917,460.910075449382
"chukchi","beam","saffron cod","0","0","IID","IID","Log_Delta","confirm_gradient",1.01890538416868e-11,3.223,471.864728235315
"chukchi","beam","saffron cod","IID","0","IID","IID","Log_Delta","confirm_gradient",3.1264897337735e-09,2.935,452.180982801206
"chukchi","beam","saffron cod","0","IID","IID","IID","Log_Delta","confirm_gradient",2.43084589790499e-07,2.91,466.855740126111
"chukchi","beam","saffron cod","IID","IID","IID","IID","Log_Delta","confirm_gradient",1.44802512149994e-09,2.935,454.180982800952
"chukchi","beam","saffron cod","0","0","0","0","Gamma_Delta","confirm_gradient",4.26747085325673e-11,3.463,484.233635229524
"chukchi","beam","saffron cod","IID","0","0","0","Gamma_Delta","confirm_gradient",8.30634450110779e-10,3.068,464.549889787056
"chukchi","beam","saffron cod","0","IID","0","0","Gamma_Delta","confirm_gradient",5.86424501181071e-08,3.137,479.224647426334
