"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,2601.67917023336,0.779718626386599,2028.57770891297
1991,1,1,1786.70655689464,1.91153428437416,3415.35083962023
1992,1,1,1786.70655689464,1.91153428437416,3415.35083962023
1993,1,1,1786.70655689464,1.91153428437416,3415.35083962023
1994,1,1,1786.70655689464,1.91153428437416,3415.35083962023
1995,1,1,1786.70655689464,1.91153428437416,3415.35083962023
1996,1,1,1786.70655689464,1.91153428437416,3415.35083962023
1997,1,1,1786.70655689464,1.91153428437416,3415.35083962023
1998,1,1,1786.70655689464,1.91153428437416,3415.35083962023
1999,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2000,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2001,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2002,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2003,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2004,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2005,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2006,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2007,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2008,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2009,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2010,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2011,1,1,1786.70655689464,1.91153428437416,3415.35083962023
2012,1,1,1420.88543331107,0.251218839692255,356.953189892028
