"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,2823.3258638176,0.227808505051915,643.177644310689
1991,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
1992,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
1993,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
1994,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
1995,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
1996,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
1997,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
1998,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
1999,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2000,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2001,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2002,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2003,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2004,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2005,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2006,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2007,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2008,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2009,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2010,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2011,1,1,2.07555627144313e-06,1.08626866919403,2.25461174881784e-06
2012,1,1,1844.80749081883,0.174262890580749,321.481485915109
