"region","gear","common_name","Omega1","Epsilon1","Omega2","Epsilon2","obs_model","status","max_grad","rrmse","aic"
"chukchi","otter","Pacific cod",0,0,0,0,"PosLink","confirm_gradient",1.66090612934318e-11,6.17,218.624866681991
"chukchi","otter","Pacific cod",1,0,0,0,"PosLink","confirm_gradient",1.31679307457944e-08,2.887,190.135653937164
"chukchi","otter","Pacific cod",0,1,0,0,"PosLink","confirm_gradient",10.9133444542735,1.896,189.038217153624
"chukchi","otter","Pacific cod",1,1,0,0,"PosLink",NA,NA,NA,NA
"chukchi","otter","Pacific cod",0,0,1,0,"PosLink","confirm_gradient",6.99671320880668e-10,5.735,210.524806323965
"chukchi","otter","Pacific cod",1,0,1,0,"PosLink","confirm_gradient",5.72502045770307e-11,4.442,199.908781983264
"chukchi","otter","Pacific cod",0,1,1,0,"PosLink",NA,NA,NA,NA
"chukchi","otter","Pacific cod",1,1,1,0,"PosLink","confirm_gradient",1.52616168591635e-08,4.442,201.908782041643
"chukchi","otter","Pacific cod",0,0,0,1,"PosLink","confirm_gradient",1.55813084656842e-10,5.719,210.832843820481
"chukchi","otter","Pacific cod",1,0,0,1,"PosLink","confirm_gradient",2.43054749660132e-08,4.204,200.04620369192
"chukchi","otter","Pacific cod",0,1,0,1,"PosLink","confirm_gradient",10.9122589483998,1.896,193.037787431123
"chukchi","otter","Pacific cod",1,1,0,1,"PosLink","confirm_gradient",5.12237807726024e-10,4.204,202.046203590238
"chukchi","otter","Pacific cod",0,0,1,1,"PosLink","confirm_gradient",1.47717227338973e-10,5.735,212.524806323534
"chukchi","otter","Pacific cod",1,0,1,1,"PosLink","confirm_gradient",1.12584100264712e-07,4.442,201.908782483853
"chukchi","otter","Pacific cod",0,1,1,1,"PosLink",NA,NA,NA,NA
"chukchi","otter","Pacific cod",1,1,1,1,"PosLink","confirm_gradient",6.09925514538645e-08,4.442,203.908781983344
"chukchi","otter","Pacific cod",0,0,0,0,"Log_Delta","confirm_gradient",1.28866230870103e-12,6.183,209.534374580453
"chukchi","otter","Pacific cod",1,0,0,0,"Log_Delta","confirm_gradient",6.86764867197098e-10,5.93,200.068935106334
"chukchi","otter","Pacific cod",0,1,0,0,"Log_Delta","confirm_gradient",1.59862345583406e-10,5.952,204.314330586232
"chukchi","otter","Pacific cod",1,1,0,0,"Log_Delta","confirm_gradient",2.64422998034917,5.622,191.997573985811
"chukchi","otter","Pacific cod",0,0,1,0,"Log_Delta","confirm_gradient",5.46398905753194e-11,5.861,209.04875266301
"chukchi","otter","Pacific cod",1,0,1,0,"Log_Delta","confirm_gradient",4.19508872084862e-12,5.249,199.583313529109
"chukchi","otter","Pacific cod",0,1,1,0,"Log_Delta","confirm_gradient",1.33787543266095e-08,5.306,203.828708572015
"chukchi","otter","Pacific cod",1,1,1,0,"Log_Delta","confirm_gradient",5.03025976428262e-09,5.249,201.583313550822
"chukchi","otter","Pacific cod",0,0,0,1,"Log_Delta","confirm_gradient",2.29743957862524e-12,5.857,209.44766094704
"chukchi","otter","Pacific cod",1,0,0,1,"Log_Delta","confirm_gradient",4.22746282424669e-11,5.227,199.982221813112
"chukchi","otter","Pacific cod",0,1,0,1,"Log_Delta","confirm_gradient",7.27094162655817e-10,5.285,204.227616952528
"chukchi","otter","Pacific cod",1,1,0,1,"Log_Delta","confirm_gradient",7.22071291647808e-10,5.227,201.982221701553
"chukchi","otter","Pacific cod",0,0,1,1,"Log_Delta","confirm_gradient",1.95646153631635e-10,5.861,211.048752663184
"chukchi","otter","Pacific cod",1,0,1,1,"Log_Delta","confirm_gradient",2.32601604643889e-09,5.249,201.583313538958
"chukchi","otter","Pacific cod",0,1,1,1,"Log_Delta","confirm_gradient",1.38445255259967e-10,5.306,205.828708669025
"chukchi","otter","Pacific cod",1,1,1,1,"Log_Delta","confirm_gradient",2.36552999410833e-11,5.249,203.583313529321
"chukchi","otter","Pacific cod",0,0,0,0,"Gamma_Delta","confirm_gradient",2.45224642665944e-11,6.17,218.624866681991
"chukchi","otter","Pacific cod",1,0,0,0,"Gamma_Delta","confirm_gradient",4.55701716362e-08,5.849,209.159427734382
"chukchi","otter","Pacific cod",0,1,0,0,"Gamma_Delta","confirm_gradient",4.17458428936257e-08,5.874,213.404822403671
"chukchi","otter","Pacific cod",1,1,0,0,"Gamma_Delta","confirm_gradient",3.19768655998587e-11,5.849,211.159427480903
"chukchi","otter","Pacific cod",0,0,1,0,"Gamma_Delta","confirm_gradient",2.70412636727002e-10,5.735,210.52480632364
"chukchi","otter","Pacific cod",1,0,1,0,"Gamma_Delta","confirm_gradient",1.24555857294872e-08,4.992,201.059367226323
"chukchi","otter","Pacific cod",0,1,1,0,"Gamma_Delta","confirm_gradient",4.71649608257962e-10,5.051,205.304762329535
"chukchi","otter","Pacific cod",1,1,1,0,"Gamma_Delta","confirm_gradient",1.05698611529981e-08,4.992,203.059367196223
"chukchi","otter","Pacific cod",0,0,0,1,"Gamma_Delta","confirm_gradient",3.97628724391197e-09,5.719,210.832843820914
"chukchi","otter","Pacific cod",1,0,0,1,"Gamma_Delta","confirm_gradient",5.72120129049836e-12,4.93,201.367404686483
"chukchi","otter","Pacific cod",0,1,0,1,"Gamma_Delta","confirm_gradient",4.18013679226448e-09,4.992,205.612799828174
"chukchi","otter","Pacific cod",1,1,0,1,"Gamma_Delta","confirm_gradient",1.57194812722139e-09,4.93,203.367404703065
"chukchi","otter","Pacific cod",0,0,1,1,"Gamma_Delta","confirm_gradient",2.05654215879036e-10,5.735,212.524806323443
"chukchi","otter","Pacific cod",1,0,1,1,"Gamma_Delta","confirm_gradient",3.84057230462531e-11,4.992,203.059367189686
"chukchi","otter","Pacific cod",0,1,1,1,"Gamma_Delta","confirm_gradient",3.99220079216889e-09,5.051,207.304762331798
"chukchi","otter","Pacific cod",1,1,1,1,"Gamma_Delta","confirm_gradient",2.54583021330745e-11,4.992,205.059367189635
