"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,97902.5988873637,0.225668673857118,22093.5496580769
1991,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
1992,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
1993,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
1994,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
1995,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
1996,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
1997,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
1998,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
1999,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2000,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2001,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2002,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2003,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2004,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2005,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2006,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2007,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2008,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2009,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2010,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2011,1,1,6.13223273509465e-07,0.278843194941156,1.70993136797654e-07
2012,1,1,78139.2714277793,0.188795710891244,14752.3592977314
