"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,8378.70896504085,1.02189014324834,8562.12010452179
1991,1,1,2432.64865607308,2.46003999247811,5984.4129815879
1992,1,1,2432.64865607308,2.46003999247811,5984.4129815879
1993,1,1,2432.64865607308,2.46003999247811,5984.4129815879
1994,1,1,2432.64865607308,2.46003999247811,5984.4129815879
1995,1,1,2432.64865607308,2.46003999247811,5984.4129815879
1996,1,1,2432.64865607308,2.46003999247811,5984.4129815879
1997,1,1,2432.64865607308,2.46003999247811,5984.4129815879
1998,1,1,2432.64865607308,2.46003999247811,5984.4129815879
1999,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2000,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2001,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2002,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2003,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2004,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2005,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2006,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2007,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2008,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2009,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2010,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2011,1,1,2432.64865607308,2.46003999247811,5984.4129815879
2012,1,1,13050.5005359367,0.339946929398629,4436.47758430685
