"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,205.972501638106,0.841188818784674,173.261765355082
1991,1,1,2326.10372351199,1.92907484265651,4487.22817443662
1992,1,1,2326.10372351199,1.92907484265651,4487.22817443662
1993,1,1,2326.10372351199,1.92907484265651,4487.22817443662
1994,1,1,2326.10372351199,1.92907484265651,4487.22817443662
1995,1,1,2326.10372351199,1.92907484265651,4487.22817443662
1996,1,1,2326.10372351199,1.92907484265651,4487.22817443662
1997,1,1,2326.10372351199,1.92907484265651,4487.22817443662
1998,1,1,2326.10372351199,1.92907484265651,4487.22817443662
1999,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2000,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2001,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2002,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2003,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2004,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2005,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2006,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2007,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2008,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2009,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2010,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2011,1,1,2326.10372351199,1.92907484265651,4487.22817443662
2012,1,1,5178.99591769698,0.382713982467821,1982.07415284639
