"Year","Unit","Estimate","SD_log","SD_mt"
"1990"," [kg]",43370.506605045,1.015868714234,44058.7407805443
"1991"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"1992"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"1993"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"1994"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"1995"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"1996"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"1997"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"1998"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"1999"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2000"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2001"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2002"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2003"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2004"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2005"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2006"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2007"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2008"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2009"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2010"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2011"," [kg]",209363.464264834,1.43273280595386,299961.903620377
"2012"," [kg]",2492569.41915763,0.414578707221433,1033366.20745406
